case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,57,Enhanced Suffix Array,0.4474,0.066,0.5134000000000001,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,58,Suffix Automaton,0.252,0.0667,0.3187,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,58,Enhanced Suffix Array,0.4019,0.0647,0.46659999999999996,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,59,Suffix Automaton,0.2051,0.0552,0.2603,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,59,Enhanced Suffix Array,0.4566,0.0689,0.5255,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,60,Suffix Automaton,0.2012,0.0524,0.2536,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,60,Enhanced Suffix Array,0.4484,0.0693,0.5177,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,61,Suffix Automaton,0.2276,0.0759,0.3035,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,61,Enhanced Suffix Array,0.4055,0.0645,0.47000000000000003,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,62,Suffix Automaton,0.2617,0.0902,0.3519,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,62,Enhanced Suffix Array,0.4002,0.0644,0.4646,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,63,Suffix Automaton,0.2001,0.0515,0.2516,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,63,Enhanced Suffix Array,0.4028,0.0672,0.47,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,64,Suffix Automaton,0.208,0.0573,0.2653,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,64,Enhanced Suffix Array,0.401,0.0659,0.46690000000000004,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,65,Suffix Automaton,0.2586,0.0552,0.31379999999999997,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,65,Enhanced Suffix Array,0.4374,0.0694,0.5068,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
