case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
repetitive_with_noise_n100_c1,repetitive_with_noise,100,13,Suffix Automaton,0.3885,0.2148,0.6033,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,13,Enhanced Suffix Array,1.1118,0.0627,1.1744999999999999,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,14,Suffix Automaton,0.2895,0.1059,0.3954,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,14,Enhanced Suffix Array,1.0434,0.061,1.1044,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,15,Suffix Automaton,0.2977,0.1073,0.405,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,15,Enhanced Suffix Array,0.9916,0.0554,1.047,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,16,Suffix Automaton,0.3522,0.1194,0.4716,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,16,Enhanced Suffix Array,1.1076,0.0627,1.1703,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,17,Suffix Automaton,0.47,0.1954,0.6654,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,17,Enhanced Suffix Array,0.964,0.0563,1.0203,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,18,Suffix Automaton,0.3146,0.116,0.4306,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,18,Enhanced Suffix Array,1.0881,0.0615,1.1496,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,19,Suffix Automaton,0.2892,0.1057,0.39490000000000003,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,19,Enhanced Suffix Array,0.9516,0.0566,1.0082,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,20,Suffix Automaton,0.3064,0.1128,0.4192,21.4814453125,21.046875,21.4814453125,0.7548828125,39.71875,26
repetitive_with_noise_n100_c1,repetitive_with_noise,100,20,Enhanced Suffix Array,1.11,0.0632,1.1732,7.408203125,7.408203125,4.5712890625,0.7333984375,9.271484375,26
near_identical_n100_c1,near_identical,100,1,Suffix Automaton,0.227,0.3914,0.6184000000000001,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,1,Enhanced Suffix Array,1.3128,0.0483,1.3611,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,2,Suffix Automaton,0.2258,0.3817,0.6074999999999999,14.5517578125,13.9765625,14.5517578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,2,Enhanced Suffix Array,1.4461,0.0634,1.5094999999999998,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
near_identical_n100_c1,near_identical,100,3,Suffix Automaton,0.219,0.3156,0.5346,14.4892578125,13.9140625,14.4892578125,0.8955078125,32.33984375,98
near_identical_n100_c1,near_identical,100,3,Enhanced Suffix Array,1.4086,0.0495,1.4581000000000002,7.408203125,7.408203125,4.6064453125,0.7685546875,9.271484375,98
